Product Name and specs
Telefunken
Omega 
Samsung 
Lexuco 
Toshiba 
JVC 
Hisense Smart TV 
"Skyworth 40"" E5500H 2K QLED Google Smart TV with Google Assistant"
"LG 65"" UA80006LA 4K UHD AI Smart TV with webOS25 & HDR10"
"Digimark - 32"" HD LED TV"
"Telefunken 43"" TLEDDS-43 FHD Full HD Android Smart TV"
"Omega 32"" HD Ready Non-Smart LED TV HDMI/USB/AV Made in South Africa"
"Telefunken 32"" TLEDD-32HD HD LED TV"
"Xiaomi S 65"" Mini LED 4K Smart TV (HDR10+, Google TV, Dolby Atmos, 144Hz)"
"Xiaomi A Pro 55"" QLED 4K Smart TV (HDR10, Google TV, Dolby Audio, 60Hz)"
"Omega 40"" Full HD Non-Smart TV Wide Color Changer HDMI / USB / AV Mode"
"JVC 32"" NQ3155A QLED Android TV"
"Xiaomi A Pro 65"" QLED 4K Smart TV (HDR10, Google TV, Dolby Audio, 60Hz)"
"Xiaomi A Pro 75"" QLED 4K Smart TV (HDR10, Google TV, Dolby Audio, 60Hz)"
"Hisense 32"" A4Q HD Smart TV with DTS-X & Dolby Audio"
"Hisense 58"" A6N 4K UHD Smart TV with HDR & Dolby Vision"
"Digimark - 32"" HD LED SMART WIFI TV"
Digimark 40'' HD Ready LED TV
"Condere - 32"" LED HD TV"
"Telefunken 40"" TLEDD-40FHD FHD LED TV"
"LH20 20"" HD Ready LED TV - 1440x900, HDMI, USB Playback, Headphone Jack"
"Digimark 40"" Smart Wi-Fi Android Tv"
"Hisense 50"" E7Q 4K UHD QLED Smart TV with Dolby Vision"
"Supersonic 50"" Full HD Non-Smart LED TV HDMI/VGA/USB/AV Mode"
"Supersonic 43"" Full HD Non-Smart Frameless TV HDMI/ USB/ AV Mode"
"Lh20 Ecco 20"" LED TV with HDMI, USB, and 1440x900 Resolution"
"Telefunken 55"" TLEDDS-55FHDB Full HD Android Smart TV"
"Telefunken 50"" TLEDD-50FHDA FHD LED TV"
"Lh20 Ecco 20"" Led Tv"
"Hisense 40"" A4Q FHD Smart TV with DTS-X & Dolby Audio"
"LH20 20"" HD Ready LED TV - Compact Entertainment with HDMI & USB Playback"
"ECCO 32"" LED HD Ready TV LH32"
"Hisense 43"" A4Q FHD Smart TV with DTS-X & Dolby Audio"
"Samsung 75"" U8050F 4K Upscaling UHD Smart TV & Premium MetalStream Design"
"JVC 55"" NQ7145 4K UHD QLED Smart TV"
"JVC 49"" LT-49Q5165 FHD QLED Smart TV"
50'' Smart Led Hd Lexuco Tv
"Samsung 43"" F6000 FHD Tizen Smart TV with Smart Sound & Knox Security"
"Toshiba 40"" V35RP FHD Smart TV with Dolby Audio"
"Supersonic 50"" Full HD Smart TV Super Bright and Dynamic Sound 50C7"
"Hisense 55"" E7Q 4K UHD QLED Smart TV with Dolby Vision"
"Lexuco 32"" Smart Frameless TV - Modern Design"
"Samsung 50"" U8050F 4K UHD Smart TV with Premium Metal Stream Design"
"Samsung 32"" H5000F HD Tizen Smart TV with Smart Sound & Knox Security"
