Xiaomi Redmi Note 14 PRO+ 5G Smartphone - Frost Blue (8+8GB RAM+256GB)-R 7,999Xiaomi Redmi Note 14 PRO Smartphone - Midnight Black (8+8GB RAM + 256GB)-R 5,7997.3" U25 Ultra 5G Unlocked Phone Ram 6G Rom 128G, Built-in Stylus-R 2,896OPPO A40 128GB LTE Dual Sim - Starry Purple + Buds-R 2,299Hisense U967 Blue Dual SIM + MTN SIM with 20GB-R 455Samsung Galaxy A05 64GB LTE Dual Sim - Light Green + Samsung Card Holder-R 1,699Xiaomi Redmi A3x Smartphone - Midnight Black (3GB RAM + 64GB)-R 1,399Xiaomi Redmi 15 Dual Sim Smartphone (8+256GB)-R 3,499Mini Foldable Small Mobile Phone 1.77-inch 2G Double SIM-R 400Huawei Nova Y72s 8GB+128GB Dual Sim |6000mAh Super Battery Smartphone- Blue-R 2,899Xiaomi Redmi Note 14 PRO+ 5G Smartphone - Midnight Black (8+8GB RAM+256GB)-R 7,999Nothing Phone (3) 16GB RAM + 512GB ROM-R 16,999HISENSE E35 Blue MTN SIM KIT & 5G Device Promotion-R 999HONOR X5b 64GB LTE Dual Sim - Blue + MTN SIM KIT & LTE Device Promotion-R 1,499iPhone 11 64GB Certified Pre-Owned- Best Quality + NOVA-IL Case-R 5,199HONOR X5b 64GB LTE Dual Sim - Midnight Black-R 1,833Samsung Galaxy A06 64GB Dual Sim - Light Blue-R 1,799Samsung Galaxy A26 5G 128GB Dual Sim - Black-R 4,499Hisense U53 Dual Sim 32GB Vodacom Network Locked - Black-R 899Hisense U53 32GB Dual Sim - Blue + MTN SIM with 20GB Data-R 699Xiaomi 15T 512GB 5G Dual Sim Smartphone-R 14,999Nothing Phone (3a) Pro 12GB RAM + 256GB ROM - Grey-R 10,499HUAWEI Nova Y73 8GB+256GB LTE Dual Sim| 6620mAh Super Battery Phone - Black-R 3,299HONOR X5b Plus 128GB LTE Dual Sim - Starry Purple-R 1,999HONOR X5b Plus 128GB LTE Dual Sim - Midnight Black-R 1,999Samsung Galaxy A26 5G 128GB Dual Sim - Mint-R 3,999Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Black-R 6,499OPPO A40 128GB LTE Dual Sim - Sparkle Black + Buds-R 2,299Tecno Spark 40C 4G Dual Sim 128GB - Grey-R 1,999Hisense U607 8GB LTE Dual Sim - Black(NL) + Vodacom SIM Card Pack-R 399Samsung Galaxy A07 128GB LTE Dual Sim - Green + Credit Card Holder-R 2,199Hisense Y81 Pro 4G Dual Sim 32GB Vodacom Network Locked - Black-R 1,098Hisense U61 - 5.99", 2GB RAM, 32GB Storage, 5MP Cameras, 3000mAh Battery-R 999Apple iPhone 11 64GB (Pristine Like New) + SNS Charging Cable-R 5,449OPPO Reno 13F 5G 512GB Dual Sim - Plume Purple + Buds-R 8,999HUAWEI Nova Y73 8GB+256GB LTE Dual Sim | 6620mAh Super Battery Phone - Blue-R 3,299Samsung Galaxy A05s Dual Sim 128GB - Black-R 2,899Hisense E72 128GB Dual Sim - Blue + Vodacom SIM Card Pack-R 1,499Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Green-R 6,499HONOR X5C 64GB LTE Dual Sim - Ocean Cyan-R 1,699Spectra J2 6.5 Inch 64GB Smart Phone-R 1,299Huawei Nova Y63 128GB Dual Sim - Silver + MTN SIM with 20GBData-R 2,599Samsung Galaxy M15 5G 128GB Dual Sim - Dark Blue + Clear Cover + Screen Protector-R 3,999HUAWEI Nova 13 Pro 512GB LTE Dual Sim Smartphone- Black + FreeArc Bundle-R 8,999Xiaomi Redmi Note 14 PRO+ 5G Smartphone - Frost Blue (8+8GB RAM+256GB)-R 7,999
Certified Pre-Owned Dell OptiPlex 7040 Intel i5 8GB 256GB SSD (Full Set)-R 4,299
ITX Computer Case M06 Mini Desktop Case HTPC Case Industrial Control Case-R 849
Certified Pre-Owned HP Compaq 8200 Elite SFF - Full Set Combo-R 3,299
Lenovo ThinkVision Computer Monitor -23.8" Computer Screen Monitors P24h-30-R 8,698
Lenovo L22e-30 21.5'' FHD (1080p) Monitor-R 3,200
Xiaomi A24i 24" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)-R 1,949
Certified Pre-Owned Dell OptiPlex 3010 i3-4GB RAM 128GB SSD SFF-R 1,699
Lenovo ThinkVision E20-20 19.5" WXSGA Monitor-R 2,295
Lenovo ThinkVision E20-30 19.5" (20-Inch) Monitor-R 1,599
Proline V11 N4020 4GB 120GB SSD 11.6" Laptop (Certified Pre-Owned)-R 1,699
Certified Pre-Owned Dell OptiPlex 5040 i7-6th Gen 16GB 512GB SSD FullSet-R 6,999
Proline V116 11.6-inch Laptop - Intel Celeron N4020, 4GB RAM, 128GB HDD-R 2,348
D-092 Wooden Computer Speakers - Wired PC Speakers with AUX and USB Adapter-R 144
ThinkCentre M82 - Intel Core i3 Full Set Certified Pre-Owned Lenovo-R 3,299
RGB Gaming Keyboard and Mouse Combo USB Wired Backlit Keyboard for Computer-R 209
Dell Optiplex 9020 i5 4th Generation SFF Desktop- Certified Pre-Owned-R 2,099
Dahua 21.4 Inch Full HD Monitor Built in Speaker + Keyboard and Mouse Combo-R 2,449
Lenovo L24e 23.8' 1080p Full HD Monitor-R 3,700
Certified Pre-Owned Lenovo ThinkCentre M800 SFF - Intel Core i3 6th Gen-R 2,499
Certified Pre-Owned HP Compaq 8300 Intel i3 3rd Gen SFF - 8GB RAM 256GB SSD-R 1,899
Certified Pre-Owned Lenovo ThinkCentre M82 SFF - Intel i3- 8 /256 Full Set-R 2,999
Certified Pre-Owned Dell OptiPlex 7050 Intel i5 16GB/512GB SSD Combo - 19"-R 4,599
World Map Mouse Pad - Extended Mousepad - Gaming Mouse Pad, Desk Pad-R 87
Certified Pre-Owned Dell OptiPlex 990 SFF - Intel i3 2nd Gen 8GB RAM 256SSD-R 1,999
Certified Pre-Owned Dell OptiPlex 9020 Full Set-Intel Core i7 16GB 1TB SSD-R 6,599
Acer V206HQL 19.5'' LED HD+ Monitor-R 1,499
LG Computer Monitors UltraWide 34" QHD VA Curved Monitor - 3440x1440 100Hz-R 6,499
Certified Pre-Owned-Lenovo ThinkCentre M93P i5-4th Gen With 8GB 256GB SSD-R 2,399
HP All-in-One 22-dg000ni Intel N100 8GB 256GB SSD Desktop -Cashmere White-R 7,989
Student Education Laptop 14" 6GB RAM 1.1 GHz Windows 10 128GB SSD Notebook-R 3,699
12th Generation Intel Pentium Gold Home&Office High-Performance Desktop PC-R 11,000
Certified Pre-Owned HP ProDesk 600 G1 MT - Intel i3 4th Gen 8GB 512SSD Set-R 3,499
Certified Pre-Owned Dell OptiPlex 9020 SFF-Intel-8GB/256GB Full Set-R 3,699
Certified Pre-Owned Dell OptiPlex 3040-Intel i5 6th Gen Micro 8GB RAM/ 256GB SSD-R 3,999
Certified Pre-Owned Dell OptiPlex 9020 Intel Core i7 Tower - 16GB/1TB SSD-R 5,999
Certified Pre-OwnedLenovo Thinkcentre m91p - Intel Core i3 2nd Gen-R 1,999
JVC IPS 21.45" Flat Monitor Model Number LT-MN22255 refresh rate 75Hz.-R 1,649
Dell OptiPlex 3060 Intel i5, 8th Gen SFF Desktop PC + 23" Monitor (Refurb)-R 10,199
V200 Computer Chassis Case Micro ATX /Mini ITX SSD Slot x 1 HDD Slot x 3-R 999
Xiaomi A27i 27" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)-R 2,399
